strength,dexterity,fighting,shieldsSkill,armourSkill,armourEncumb,shieldPenalty,species size,weap1 damage,w1 base delay,w1 min delay,w1 total slaying,brand,w1 ranged?,weap2 damage,w2 base delay,w2 min delay,w2 total slaying,w2 brand,w2 ranged?,,,Authorisation:,https://yagisanatode.com/2020/08/17/running-google-apps-script-for-the-first-time-whats-with-all-the-warnings/,,,,,,,,,,
stoker,13,800,5,12,80,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
green death,13,715,5,7,71.5,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
deathcap,13,520,5,0,52,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
alligator,12,720,5,9,72,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
tyrant leech,12,600,5,15,60,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
tentacle,12,480,5,7,48,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
tentacle segment,12,480,5,7,48,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
salamander mystic,10,650,5,7,65,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
giant,9,495,5,3,49.5,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
manticore,9,495,5,7,49.5,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
thrashing horror,9,495,5,10,49.5,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
orc sorcerer,9,315,5,12,31.5,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
salamander,8,640,5,7,64,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
wandering mushroom,8,440,5,0,44,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
silent spectre,8,440,5,15,44,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
djinni,8,400,5,5,40,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
bloated husk,8,250,5,5,25,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
hell beast,7,840,5,14,84,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
unseen horror,7,385,5,10,38.5,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
smoke demon,7,385,5,9,38.5,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
hellion,7,385,5,10,38.5,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
wyvern,5,275,5,10,27.5,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
acid dragon,5,275,5,10,27.5,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
ice beast,5,275,5,10,27.5,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
spectral weapon,5,250,5,10,25,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
steam dragon,4,300,5,10,30,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
scorpion,4,180,5,10,18,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
iguana,3,165,5,9,16.5,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
quasit,3,150,5,17,15,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
river rat,2,110,5,11,11,1.148108911,1.142290792,1.143217583,1.140094991,1.136583556,1.131243885,1.125361374,1.118361567,1.111014463,1.102613775,1.093670584,1.083643967,1.07289346,1.06096358,1.047798268,1.033523712,1.017673079,1.000304648,0.9809565285,0.9115874234,0.8420066044,0.8425765958,0.8430877557,0.8436938497,0.8442988489,0.8451350815,0.8451952569,0.845525095
searing wretch,18,1600,4,8,160,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
Asterion,15,1275,4,4,127.5,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
wendigo,15,880,4,20,88,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
ghoul,14,1470,4,10,147,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
merfolk avatar,13,845,4,12,84.5,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
jorogumo,12,850,4,14,85,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
ugly thing,12,660,4,10,66,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
snaplasher vine,12,240,4,7,24,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
anaconda,11,605,4,16,60.5,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
insubstantial wisp,11,400,4,10,40,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
Fannar,10,800,4,15,80,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
centaur warrior,10,550,4,8,55,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
merfolk,10,550,4,12,55,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
pharaoh ant,10,360,4,8,36,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
Nessos,9,720,4,8,72,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
merfolk siren,9,405,4,12,40.5,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
yaktaur,8,440,4,4,44,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
raiju,7,385,4,14,38.5,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
black mamba,7,385,4,15,38.5,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
yak,7,385,4,7,38.5,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
water elemental,6,420,4,7,42,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
Pikel,6,390,4,12,39,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
fire elemental,6,330,4,12,33,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
neqoxec,6,330,4,12,33,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
warg,5,325,4,12,32.5,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
lemure,5,275,4,12,27.5,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
wolf,4,220,4,15,22,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
malarious merfolk avatar,3,195,4,12,19.5,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
wight,3,165,4,10,16.5,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
sickly merfolk siren,3,135,4,12,13.5,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
white imp,2,110,4,10,11,1.133570787,1.12782634,1.128479026,1.125405281,1.12197185,1.116809215,1.111115558,1.104335605,1.097197623,1.08902867,1.080309786,1.070533372,1.06003032,1.048362518,1.035471692,1.021474241,1.005922497,0.9888600509,0.9698391838,0.9013495427,0.8326390596,0.8332893239,0.8338821013,0.8345635643,0.835242141,0.8361342296,0.8362916389,0.8366992437
Saint Roka,18,1980,3,10,198,1.119877331,1.114202277,1.114603223,1.11156579,1.108194077,1.10318331,1.097652791,1.091072123,1.084124459,1.076168596,1.067656359,1.058109476,1.047833217,1.036406495,1.023769017,1.010027556,0.994752212,0.9779743313,0.9592600174,0.8916027207,0.823716294,0.8244383657,0.82510412,0.8258527228,0.8265967751,0.8275381289,0.8277839948,0.8282621458
Arachne,17,2040,3,10,204,1.119877331,1.114202277,1.114603223,1.11156579,1.108194077,1.10318331,1.097652791,1.091072123,1.084124459,1.076168596,1.067656359,1.058109476,1.047833217,1.036406495,1.023769017,1.010027556,0.994752212,0.9779743313,0.9592600174,0.8916027207,0.823716294,0.8244383657,0.82510412,0.8258527228,0.8265967751,0.8275381289,0.8277839948,0.8282621458
draconian monk,16,1200,3,10,120,1.119877331,1.114202277,1.114603223,1.11156579,1.108194077,1.10318331,1.097652791,1.091072123,1.084124459,1.076168596,1.067656359,1.058109476,1.047833217,1.036406495,1.023769017,1.010027556,0.994752212,0.9779743313,0.9592600174,0.8916027207,0.823716294,0.8244383657,0.82510412,0.8258527228,0.8265967751,0.8275381289,0.8277839948,0.8282621458
fenstrider witch,16,666,3,15,66.6,1.119877331,1.114202277,1.114603223,1.11156579,1.108194077,1.10318331,1.097652791,1.091072123,1.084124459,1.076168596,1.067656359,1.058109476,1.047833217,1.036406495,1.023769017,1.010027556,0.994752212,0.9779743313,0.9592600174,0.8916027207,0.823716294,0.8244383657,0.82510412,0.8258527228,0.8265967751,0.8275381289,0.8277839948,0.8282621458
demonspawn warmonger,15,1250,3,12,125,1.119877331,1.114202277,1.114603223,1.11156579,1.108194077,1.10318331,1.097652791,1.091072123,1.084124459,1.076168596,1.067656359,1.058109476,1.047833217,1.036406495,1.023769017,1.010027556,0.994752212,0.9779743313,0.9592600174,0.8916027207,0.823716294,0.8244383657,0.82510412,0.8258527228,0.8265967751,0.8275381289,0.8277839948,0.8282621458
orc warlord,15,1125,3,10,112.5,1.119877331,1.114202277,1.114603223,1.11156579,1.108194077,1.10318331,1.097652791,1.091072123,1.084124459,1.076168596,1.067656359,1.058109476,1.047833217,1.036406495,1.023769017,1.010027556,0.994752212,0.9779743313,0.9592600174,0.8916027207,0.823716294,0.8244383657,0.82510412,0.8258527228,0.8265967751,0.8275381289,0.8277839948,0.8282621458
demonspawn corrupter,15,925,3,15,92.5,1.119877331,1.114202277,1.114603223,1.11156579,1.108194077,1.10318331,1.097652791,1.091072123,1.084124459,1.076168596,1.067656359,1.058109476,1.047833217,1.036406495,1.023769017,1.010027556,0.994752212,0.9779743313,0.9592600174,0.8916027207,0.823716294,0.8244383657,0.82510412,0.8258527228,0.8265967751,0.8275381289,0.8277839948,0.8282621458
spriggan defender,15,675,3,22,67.5,1.119877331,1.114202277,1.114603223,1.11156579,1.108194077,1.10318331,1.097652791,1.091072123,1.084124459,1.076168596,1.067656359,1.058109476,1.047833217,1.036406495,1.023769017,1.010027556,0.994752212,0.9779743313,0.9592600174,0.8916027207,0.823716294,0.8244383657,0.82510412,0.8258527228,0.8265967751,0.8275381289,0.8277839948,0.8282621458
Donald,14,840,3,10,84,1.119877331,1.114202277,1.114603223,1.11156579,1.108194077,1.10318331,1.097652791,1.091072123,1.084124459,1.076168596,1.067656359,1.058109476,1.047833217,1.036406495,1.023769017,1.010027556,0.994752212,0.9779743313,0.9592600174,0.8916027207,0.823716294,0.8244383657,0.82510412,0.8258527228,0.8265967751,0.8275381289,0.8277839948,0.8282621458
octopode,8,560,1,5,56,1.095060875,1.08951158,1.089468986,1.086472867,1.083183513,1.078411379,1.073140132,1.066883686,1.060246728,1.052653145,1.044496354,1.035344581,1.025459321,1.01445512,1.002266952,0.9889796436,0.9741950054,0.9579234654,0.9397559224,0.8736167398,0.8072354513,0.8080747385,0.8088599633,0.8097178282,0.8105684373,0.8115882755,0.8119862819,0.8125850717
